job title;company name;date;location;skills;links;;,,,,,,,
Python Instructor for Kids 13-17 - Alexandria;CodeTreps -;2 days ago;Mahta Alraml, Alexandria, Egypt ;Full TimePart TimeOn-siteEntry Level · 1 - 3 Yrs of Exp · IT/Software Development · Education/Teaching · Training/Instructor · Teaching · instructor · Education · MIT AppInventor · Code.org · Pictoblox · Coding;https://wuzzuf.net/jobs/p/x0wsybvwib7i-python-instructor-for-kids-13-17-alexandria-codetreps-alexandria-egypt;;,,,,,
AI Developer (Python);Ultimate Solutions Egypt -;3 days ago;Sheikh Zayed, Giza, Egypt ;Full TimeOn-siteExperienced · 1 - 2 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · AI · AWS · Azure · Computer Science · Data Science · Git · Information Technology (IT);https://wuzzuf.net/jobs/p/fzhlcjbkzah5-ai-developer-python-ultimate-solutions-egypt-giza-egypt;;,,,,,
DAZU - Python Developer (FinTech);Bright Creations -;3 days ago;Smart Village, Giza, Egypt ;Full TimeHybridExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Django · Flask · Python Scripting · Web Scraping · WWeb Scraping · CI · Computer Science;https://wuzzuf.net/jobs/p/u0f0gyqjqg7z-dazu-python-developer-fintech-bright-creations-giza-egypt;;,,,,,
Senior Systems Architect;Nexus Analytica -;2 days ago;Shorouk City, Cairo, Egypt ;Full TimeOn-siteExperienced · 7 - 8 Yrs of Exp · IT/Software Development · Software Architecture · Microservice Architecture · monolithic architecture · Modular Design · scalable architecture · API Design · Architectural documentation · Python · Django Framework;https://wuzzuf.net/jobs/p/7e1yrihij2ip-senior-systems-architect-nexus-analytica-cairo-egypt;;,,,,,
NLP Python Engineer;Confidential -;4 days ago;Cairo, Egypt ;Full TimeHybridExperienced · 5 - 8 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · AI · Software Development · Software Engineering · Agile Software Development · PyTorch · TensorFlow · Keras;https://wuzzuf.net/jobs/p/rsukdhk2kk3s-nlp-python-engineer-cairo-egypt;;,,,,,,
Senior Odoo Developer – Full Stack;TopLine  -;5 days ago;Cairo, Egypt ;Full TimeRemoteExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Odoo · Python · Odoo CRM · PostgreSQL · RESTful API Integration · Version Control (Git) · Problem Solving · Odoo Development;https://wuzzuf.net/jobs/p/aomsbm5zjdsj-senior-odoo-developer-full-stack-topline-cairo-egypt;;,,,,,,
Senior Odoo Techno-Functional;Confidential -;4 days ago;Jeddah, Saudi Arabia ;Full TimeOn-siteExperienced · 4 - 10 Yrs of Exp · males_only · IT/Software Development · Engineering - Telecom/Technology · Odoo ERP · Python · API Integration · Data Migration · Problem Solving;https://wuzzuf.net/saudi/jobs/p/rkxpsswcpxnv-senior-odoo-techno-functional-jeddah-saudi-arabia;;,,,,,,
Data Science And Machine Learning Instructor;EpsilonAI -;1 month ago;Nasr City, Cairo, Egypt ;Full TimeFreelance / ProjectHybridExperienced · 2+ Yrs of Exp · IT/Software Development · Education/Teaching · Training/Instructor · Data Science · Computer Science · Computer Engineering · Python · Machine Learning · Deep Learning · Artificial Intelligence (AI);https://wuzzuf.net/jobs/p/f1ah51tu27bz-data-science-and-machine-learning-instructor-epsilonai-cairo-egypt;;,,,,,
ICT Teacher;Nile Egyptian International Schools -;2 months ago;Obour City, Cairo, Egypt ;Full TimeOn-siteEntry Level · 0 - 3 Yrs of Exp · Education/Teaching · Python · Microsoft Office · Lesson Planning · Classroom Management · qualified teacher;https://wuzzuf.net/jobs/p/dtw2w3suohbe-ict-teacher-nile-egyptian-international-schools-cairo-egypt;;,,,,,
iOS & Backend Engineer – Powering Global eSIM & Hotspot Apps;Connected Destinations -;8 days ago;Istanbul, Turkey ;Freelance / ProjectRemoteEntry Level · 1 - 2 Yrs of Exp · IT/Software Development · Tourism/Travel · Swift · Node.js · Python · SQL · NoSQL · Git · E-Commerce · API;https://wuzzuf.net/jobs/p/zrasji2m5kiz-ios-backend-engineer-powering-global-esim-hotspot-apps-connected-destinations-istanbul-turkey;;,,,,,,
Senior MLOps Engineer;BrickRed Technologies  -;8 days ago;New Cairo, Cairo, Egypt ;Full TimeOn-siteExperienced · 7+ Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · MLOps · Machine Learning · DevOps · Cloud Computing · CI/CD · Docker · Kubernetes;https://wuzzuf.net/jobs/p/bvneuotw1ymz-senior-mlops-engineer-brickred-technologies-cairo-egypt;;,,,,,
Software Engineer Intern;BlackDuck -;9 days ago;New Cairo, Cairo, Egypt ;InternshipHybridStudent · IT/Software Development · Quality · Engineering - Telecom/Technology · Flutter · React Native · React · Kotlin · Swift · Vue.js · Angular;https://wuzzuf.net/internship/xw9t1eitxae3-software-engineer-intern-blackduck-cairo-egypt;;,,,,,
Senior Full Stack Developer;BlackDuck -;9 days ago;New Cairo, Cairo, Egypt ;Full TimeOn-siteExperienced · 6+ Yrs of Exp · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology · React Native · React · Node.js · Python · Django · GO · Back-End Development;https://wuzzuf.net/jobs/p/huhipylh43gw-senior-full-stack-developer-blackduck-cairo-egypt;;,,,,,
Ethical Hacker;3PEARL   -;11 days ago;Mohandessin, Giza, Egypt ;Full TimeOn-siteExperienced · 1 - 3 Yrs of Exp · Creative/Design/Art · Customer Service/Support · Marketing/PR/Advertising · Penetration Testing · Vulnerability Assessment · Network Security · Application Security · Scripting (Python, Bash, PowerShell) · Security Tools (Metasploit, Burp Suite, Nmap) · Incident Response;https://wuzzuf.net/jobs/p/ttyjz8skpcwd-ethical-hacker-3pearl-giza-egypt;;,
Senior Odoo Developer;Elsewedy industries -;11 days ago;New Cairo, Cairo, Egypt ;Full TimeOn-siteExperienced · 3 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Odoo · Odoo Development · Programming · Software Development · Software Engineering · SQL · Information Technology (IT);https://wuzzuf.net/jobs/p/tbraut9zagft-senior-odoo-developer-elsewedy-industries-cairo-egypt;;,,,,,
Senior Manager - Data Analytics;Alshaya -;12 days ago;Nasr City, Cairo, Egypt ;Full TimeOn-siteManager · 7 - 10 Yrs of Exp · Analyst/Research · Sales/Retail · Data Analytics · CRM · Quantitative Research · Commercial Analysis · Performance Measurement · Loyalty Programme · Performance Analytics · Loyalty Programme Analytics;https://wuzzuf.net/jobs/p/0z01rmltftwu-senior-manager-data-analytics-alshaya-cairo-egypt;;,,,,,
